Timestamp,Symbol,Timeframe,Strategy,Volume,Volatility (%),Liquidity,Spread (%),Depth,Entry Price,Stop Loss,Target 1,Target 2,Final Target,T1 Gain (%),T2 Gain (%),Final Gain (%)
2025-03-27 11:00:21,IO/USDT,1d,Z-Score Statistical Strategy,42296418.41790454,499.62,High,0.04478280340348813,2915.9,0.8950,0.8004,0.9896,1.0526,1.1472,10.57,17.61,28.18
2025-03-27 11:00:25,GRT/USDT,1d,Z-Score Statistical Strategy,352312934.7038029,227.58,High,0.047377647226033534,57325.2973,0.1055,0.0974,0.1136,0.1190,0.1271,7.68,12.8,20.48
2025-03-27 11:00:30,BRETT/USDT,1d,Z-Score Statistical Strategy,2403807802.016851,543.25,High,0.026965080221103204,504718.3,0.0371,0.0325,0.0416,0.0447,0.0492,12.3,20.5,32.8
2025-03-27 11:00:33,ILV/USDT,1d,Z-Score Statistical Strategy,1113406.98494423,315.65,High,0.026416589618277374,69.7791,15.1430,13.5809,16.7051,17.7466,19.3087,10.32,17.19,27.51
2025-03-27 11:00:34,VET/USDT,1d,Z-Score Statistical Strategy,7167504567.101816,172.44,High,0.038189803322524585,945179.7000000001,0.0262,0.0242,0.0282,0.0295,0.0316,7.72,12.87,20.59
2025-03-27 11:00:37,PUFFER/USDT,1d,Z-Score Statistical Strategy,195435415.40149102,352.46,High,0.038454143433950774,17250.94,0.2603,0.2364,0.2842,0.3001,0.3239,9.17,15.28,24.44
2025-03-27 11:00:41,UNI/USDT,1d,Z-Score Statistical Strategy,14841426.308528371,203.61,High,0.007392021052484991,311.04,6.7600,6.2164,7.3036,7.6660,8.2095,8.04,13.4,21.44
2025-03-27 11:00:43,THETA/USDT,1d,Z-Score Statistical Strategy,62080806.79661837,264.1,High,0.010086237329174443,5590.7806,0.9901,0.9120,1.0682,1.1203,1.1984,7.89,13.15,21.04
2025-03-27 11:00:45,HBAR/USDT,1d,Z-Score Statistical Strategy,3909351593.208237,128.82,High,0.010462439840981379,34980.0694,0.1910,0.1764,0.2057,0.2155,0.2301,7.67,12.79,20.47
2025-03-27 11:00:49,KDA/USDT,1d,Z-Score Statistical Strategy,119143439.72868595,243.99,Low,0.06121824303642944,18780.4171,0.4894,0.4425,0.5363,0.5675,0.6144,9.58,15.97,25.55
2025-03-27 11:00:50,ROSE/USDT,1d,Z-Score Statistical Strategy,1183178528.5880435,291.53,High,0.029953571963465816,159126.00699999998,0.0334,0.0307,0.0361,0.0379,0.0406,8.07,13.45,21.52
2025-03-27 11:00:53,WLD/USDT,1d,Z-Score Statistical Strategy,158123798.6519865,300.99,High,0.02106149957876769,8326.0645,0.9501,0.8573,1.0429,1.1047,1.1975,9.76,16.27,26.04
2025-03-27 11:00:56,ICP/USDT,1d,Z-Score Statistical Strategy,48626526.4557969,163.55,High,0.01654670306940425,2965.9735,6.0430,5.6147,6.4713,6.7568,7.1850,7.09,11.81,18.9
2025-03-27 11:01:00,PYTH/USDT,1d,Z-Score Statistical Strategy,414677296.56994283,256.0,High,0.04738775026655415,26792.4748,0.1688,0.1538,0.1838,0.1937,0.2087,8.86,14.77,23.63
2025-03-27 11:01:02,HYPE/USDT,1d,Z-Score Statistical Strategy,97439435.79631932,195.85,High,0.020673259139304095,553.41,14.5130,12.0254,17.0006,18.6591,21.1467,17.14,28.57,45.71
2025-03-27 11:01:03,FIL/USDT,1d,Z-Score Statistical Strategy,38943675.26841591,159.97,High,0.013246348975062291,1696.6928,3.0202,2.7876,3.2528,3.4079,3.6405,7.7,12.84,20.54
2025-03-27 11:01:05,ONDO/USDT,1d,Z-Score Statistical Strategy,622917337.9380956,176.77,High,0.009839345355559448,4035.2161,0.9127,0.8308,0.9947,1.0493,1.1312,8.98,14.96,23.94
2025-03-27 11:01:10,AR/USDT,1d,Z-Score Statistical Strategy,8223529.015578621,287.25,High,0.02706726214643091,539.4508,7.3930,6.6973,8.0887,8.5525,9.2481,9.41,15.68,25.09
2025-03-27 11:01:14,XLM/USDT,1d,Z-Score Statistical Strategy,1220113346.4251716,127.1,High,0.03450060376056201,211508.69999999998,0.2896,0.2689,0.3103,0.3241,0.3449,7.16,11.93,19.08
2025-03-27 11:01:21,OSMO/USDT,1d,Z-Score Statistical Strategy,44299157.0077,180.77,High,0.03361909564632341,24549.3311,0.2973,0.2775,0.3171,0.3302,0.3500,6.65,11.08,17.72
2025-03-27 11:01:26,ALGO/USDT,1d,Z-Score Statistical Strategy,1061447941.3987616,186.18,High,0.04758505829169117,293872.3174,0.2102,0.1920,0.2284,0.2405,0.2587,8.65,14.42,23.07
2025-03-27 11:01:30,DASH/USDT,1d,Z-Score Statistical Strategy,1313813.1564339101,163.21,High,0.04143360265175705,528.0066,24.1100,22.5286,25.6914,26.7457,28.3271,6.56,10.93,17.49
2025-03-27 11:01:34,AITECH/USDT,1d,Z-Score Statistical Strategy,628039731.84,341.45,High,0.03297609233305719,18406.26,0.0303,0.0268,0.0338,0.0361,0.0396,11.52,19.19,30.71
2025-03-27 11:01:38,FLUX/USDT,1d,Z-Score Statistical Strategy,134905629.14828962,267.42,High,0.03450060376056201,17743.1248,0.2898,0.2625,0.3171,0.3353,0.3627,9.43,15.71,25.14
